Source,Destination,Path,PathDelay,PathCost
16,5,16->23->18->14->8->2->3->4->5,33,33
16,6,16->17->12->8->7->6,18,18
16,6,16->23->18->14->8->2->3->4->5->6,36,36
16,7,16->17->12->8->7,14,14
16,7,16->23->18->14->7,19,19
16,8,16->17->12->8,8,8
16,8,16->23->18->14->8,17,17
16,9,16->17->12->9,9,9
16,9,16->15->10->9,22,22
16,10,16->15->10,15,15
16,10,16->17->11->10,16,16
16,11,16->17->11,10,10
16,11,16->23->17->12->11,18,18
16,12,16->17->12,6,6
16,12,16->23->18->14->12,17,17
16,13,16->17->12->13,10,10
16,13,16->23->18->14->13,13,13
16,14,16->17->14,9,9
16,14,16->23->18->14,11,11
16,15,16->15,9,9
16,15,16->17->15,11,11
16,17,16->17,3,3
16,17,16->23->17,9,9
16,18,16->23->18,5,5
16,18,16->17->22->18,8,8
16,19,16->23->18->19,10,10
16,19,16->17->12->13->19,15,15
16,20,16->23->18->20,11,11
16,20,16->17->22->18->21->20,14,14
16,21,16->23->18->21,6,6
16,21,16->17->22->21,11,11
16,22,16->17->22,6,6
16,22,16->23->18->22,7,7
16,23,16->23,4,4
16,23,16->17->23,8,8
17,0,17->12->8->0,9,9
17,0,17->14->12->9->0,20,20
17,1,17->12->8->0->1,11,11
17,1,17->14->8->2->1,23,23
17,2,17->12->8->2,10,10
17,2,17->14->8->0->1->2,24,24
17,3,17->12->8->2->3,17,17
17,3,17->14->7->6->5->4->3,25,25
